stop,lat,long
somanahalli  somanahalli in front of veterinary hospital,12.7722,77.504
bilva i.t.i.college sonnenahalli beside open area,13.2038,77.499
girinagara cross,12.9431,77.545
thippenahalli cross tippenahalli cross beside sri manjunatha upahara,13.0294,77.484
tippasandra market thippasandra beside vinayaka medicals,12.9725,77.651
layout herohalli venkateshwara layout beside pavithra stores,12.9933,77.489
chowdanahalli chowdana halli in front of metro corporation,13.2134,77.635
venkateshwara nagara venkateshwara nagara in front of common treads garments,13.0748,77.619
muthanallur circle muthanalluru-anekal taluk near annapoorneshwari bakery,12.8433,77.727
nayakanapalya in front of pump house,12.9038,77.281
vidyapeeta circle vinayakanagara in front of prem automobiles,12.9356,77.56
poojena agrahara,13.0319,77.793
lingadira mallasandra beside aladamara & milk dairy,12.9791,77.871
marasandra circle in front of brunda provision store,13.2227,77.549
kannalli kannalli beside residential area,12.9663,77.459
summanahalli magadi road,12.9871,77.519
mugaluru,12.8948,77.821
gangondanahalli gangondanahalli beside government primary school,13.0216,77.468
jc nagara jc nagara beside post office,13.0068,77.593
rm guttahalli palace guttahalli beside open area,12.9997,77.584
yarappanahalli opposite of govt.milk dairy,13.2176,77.703
naganayakanahalli anekal taluk beside government senior primary school,12.7688,77.695
ramadevanahalli ramadevanahalli in front of eshwara temple,13.1898,77.433
amrutahalli amruthahalli beside amruth clinic,13.0656,77.601
nagarabhavi 12th block nagarabhavi opposite of bharathiya state bank,12.961,77.512
khroad,12.974,77.614
bhodana hosahalli in front of govt. milk dairy,12.9788,77.802
krishnarajendra market kr market,12.9604,77.576
basammanahalli basammanahalli in front of government school,12.8752,77.353
brudavana nagara jinke vana brindavana nagara in front of rajiv gandhi sports complex,12.9505,77.555
ganesha temple chandralayout chandra layout beside goodwill apartments,12.9577,77.529
electronic city electronic city opposite of n.t.t.f. institute,12.8469,77.671
arehalli opposite of ashwatha katte,12.9374,77.83
eco space bellandur in front of maruthi suzuki motors,12.928,77.68
ankana halli opposite of kiran provision store,12.8566,77.357
hullalu,12.9555,77.48
pipe line vasanthapura opposite of d.a.v.public school,12.895,77.555
system jalahalli cross peenya industrial area in front of new timber industry,13.035,77.518
sriramapura colony sriramapura colony (mantapa) in front of petty shop,13.0228,77.312
ambedkar college 80feet outer ring road in front of fish product sales counter,12.9603,77.505
chikka kuntanahalli in front of milk dairy,12.7937,77.438
baalenahalli magadi managal opp to anjaneya temple,12.8957,77.193
chowdanahalli chowdana halli opposite of mini  water tank,13.2143,77.629
kumaraswamy layout kumara swamy layout beside bmtc main bus stand,12.9029,77.562
medahalli colony medahalli in front of milk dairy,12.9684,77.845
maddappanahalli,12.9177,77.796
sap itpl whitefield in front of fortune hotel,12.9776,77.715
p&t quarters kavalabyrasandra opposite of vivek paradisc,13.0215,77.605
tvs cross  peenya 2nd stage  3rd phase opposite of cenlube industries ltd,13.0275,77.52
central silk board btm layout  madiwala in front of central silk board,12.9165,77.621
wimac junction abbigere beside devi bakery & sweets,13.0685,77.53
mangammana palya mangammana palya in front of muniyappa complex,12.9073,77.635
janapriya enclave,12.9891,77.501
vydehi hospital whitefield beside ttmc bus stand,12.9767,77.727
srirampura hennagara post beside hunasemara & residence,12.8033,77.666
mahathma gandhi statue beside chinnaswamy stadium,12.9774,77.599
haniyur cross haniyuru beside open area,13.2131,77.514
shettigere chikkajala shettigere opposite of narayanappa traders,13.179,77.667
shikaripalya cross electronic city opposite of wipro gate,12.8391,77.659
bande bommasandra bonde bommasandra beside ayyappa bakery,13.0767,77.681
huskur gate electronic city post beside estate garden,12.8373,77.679
vaghata vagata opposite of government school,13.0233,77.836
water tank raggigudda jp nagara 3rd phase opposite of b.w.s.s.b.,12.9138,77.595
bcc layout,12.9514,77.53
nagendra block banashankari 3rd stage nagendra block,12.9419,77.553
sonal garments peenya industrial area in front of sonal garments,13.0215,77.527
basavanagara mysore road check post(basaveshwara nagara) opposite of vishwa vokkaligara maha samsthana mutt,12.901,77.467
big bazaar opposite of big bazaar,12.9882,77.732
btm layout south madheshwara nagara beside bus stop,12.9077,77.611
seegehalli gate kadugodi opposite of govt primary school,13.0134,77.761
d group employees layout cross annapoorneshwari nagara image granites,12.97,77.497
neelasandra austin town beside kavyasagara,12.9582,77.615
bychohalli opposite of sri rama temple,12.8063,77.438
navodaya nagara navodaya nagara in front of vishwas shopping centre,12.8815,77.584
maduranagar hostel madhura nagara opposite of hostel (government),12.9399,77.761
bileshivale,13.0547,77.671
singhena agrahara cross,12.8426,77.687
ravi tent viveka nagara beside viveka nagara police station,12.9514,77.622
kadirenahalli cross banashankri 2nd stage teachers colony beside s.a.f00t wear,12.9139,77.567
basavanapura gate,12.8464,77.588
saalu hunase,12.8113,77.512
sugganahalli sugganahalli opposite of k.e.b.office  bescom,12.7995,77.319
yeshawanthapura ttmc,13.0174,77.557
gundur gunduru in front of krishna anjaneya temple,13.0867,77.715
dubasi palya cross,12.923,77.496
udupi garden 16th main btm layout beside banglor one center,12.9166,77.609
new devanahalli devanahalli in front of shanthi sagar,13.2456,77.713
vinayaka talkies,12.9929,77.508
bagalagunte bagalagunte beside mataji steel center,13.0563,77.507
murgeshpalya opp.total mall,12.9594,77.657
madanayakanahalli madunayakanahalli beside hotel guru darshini,13.0613,77.462
goravanahalli cross guruvanahalli beside open area,13.0563,77.358
shettigere shettigere in front of narayanappa traders,13.1791,77.667
mother dairy cross,13.0998,77.577
pes college banashankari 3rd stage dwaraka nagara beside pavitra hardware,12.9352,77.537
byatarayana pura,13.0666,77.593
cil jc nagara  rt nagara in front of controllerate of quality assurance,13.0118,77.593
mysore bank,12.9737,77.582
ittige factory beside brick factory,13.0684,77.395
mdblock,12.9943,77.569
kanivemadhapura cross,12.696,77.585
shylendra doddi,12.8007,77.552
vidyanikethan public school,12.9506,77.487
gollhalli open area,12.7406,77.646
iti circle krpuram dooravani nagara in front of j.b.dairy,13.0081,77.683
betta halli gate bettahalli cross beside open area,13.0081,77.435
dyavarahalli opposite of aladamara,13.24,77.599
bhadrappa layout bhadrappa layout beside medical store,13.0476,77.576
srinivasa nagara banashankari 1st stage  srinivasa nagara in front of mangaladeep medicals,12.9376,77.558
kammasandra k.g.lakkenahalli cross beside ravapack industries,13.0257,77.459
coles road frazer town in front of canara bank,12.9963,77.612
vit cross devanahalli road in front of emmvee,13.1522,77.62
lakshmipura cross lakshmipura beside water tank,13.0921,77.534
bommandanahalli,12.7615,77.635
rbi layout r.b.i.layout opposite of someshwara sabha bhavana,12.8882,77.582
bellandru  bellandur in front of govt middle school & shri maligamba temple,12.9306,77.676
sadenahalli opposite of anjaneya temple,13.1947,77.573
agrahara layout agrahara in front of government school,13.0984,77.627
ashrama savandarbar sunkalpalya in front of savan darbar ashrama,12.9097,77.492
machohalli machohalli in front of arali katte,13.0061,77.453
btm water tank btm layout in front of corporation bank,12.9167,77.607
gottipura gottipura in front of anjaneya temple,13.1082,77.85
govardana talkies,13.0187,77.554
hagadoor,12.9658,77.757
muneshwara block muneshwara block beside tejashwini juice & chats,12.945,77.549
devanahalli devanahalli in front of hotel shanti sagar,13.2454,77.713
nekkundi dommasandra,12.9279,77.776
vidhyaranyapura 1st block vidyaranyapura beside bank of india,13.0701,77.555
anchipura colony anchipura colony in front of government middle school,12.7673,77.439
hunisemarada palya beside open area,12.9135,77.45
yadavanahalli gate attibele hobli in front of syndicate bank,12.7857,77.751
dasappana palya beside residential area,13.0794,77.506
kasave palya karenahalli opposite of water tank,12.8534,77.376
kittanahalli kittanahalli beside government primary school,13.009,77.42
lakshmi temple sondekoppa beside hotel sri vinayaka,13.0253,77.385
haldenahalli,12.7171,77.709
blue field garden,13.0655,77.553
dodda aladamara dodda aladamara  aladamara,12.9101,77.394
kere in front of puttenahalli lake,12.8912,77.588
kada agrahara cross kada agrahara beside open area,13.0798,77.686
