vehicle_no,schedule_no,sim_number,depot,last_inserted_tm
KA57F166,1/1,9987789473,Depot-04,2016-10-20 11:00:05
KA01FA1295,1/6,9987877468,Depot-26,2016-10-20 11:00:07
KA01FA2180,100/2,9987857814,Depot-08,2016-10-20 11:00:06
KA01F3870,104/1,9987848147,Depot-08,2016-10-20 11:00:06
KA01F3557,104/2,9987825228,Depot-26,2016-10-20 11:00:10
KA01FA2003,104/5,9987861955,Depot-08,2016-10-20 11:00:10
KA01FA0882,107C/2,9987898395,Depot-02,2016-10-20 11:00:06
KA01F4824,108/1,9987835446,Depot-03,2016-10-20 11:00:05
KA01FA1005,108/2,9987838403,Depot-03,2016-10-20 11:00:10
KA57F0359,108B/1,9967503031,Depot-14,2016-10-20 11:00:07
KA53F0064,108B/2,9987769947,Depot-14,2016-10-20 11:00:07
KA57F0105,108B/3,9987843427,Depot-08,2016-10-20 11:00:07
KA01FA2087,108B/4,9987769776,Depot-14,2016-10-20 11:00:07
KA01F8583,108B/5,9967503878,Depot-14,2016-10-20 11:00:06
KA01F4789,10A/1,9987801826,Depot-04,2016-10-20 11:00:05
KA50F0071,10J/1,9987866250,Depot-16,2016-10-20 11:00:10
KA01F4955,10J/2,9987792176,Depot-16,2016-10-20 11:00:07
KA01F8632,10J/3,9987781775,Depot-16,2016-10-20 11:00:09
KA01FA2373,111/1,9967503849,Depot-14,2016-10-20 11:00:10
KA01F4906,111/2,9987866863,Depot-03,2016-10-20 11:00:05
KA01F3842,111/3,9967504809,Depot-14,2016-10-20 11:00:10
KA01FA2351,111/4,9967505396,Depot-14,2016-10-20 11:00:07
KA01FA0111,111/6,9967505170,Depot-14,2016-10-20 11:00:07
KA01FA2259,111/7,9967505495,Depot-14,2016-10-20 11:00:07
KA01F8548,111C/1,9987780402,Depot-14,2016-10-20 11:00:07
KA01F3207,111C/2,9987791749,Depot-26,2016-10-20 11:00:10
KA01F3869,111C/4,9967504337,Depot-14,2016-10-20 11:00:07
KA01FA0081,111C/7,9987865271,Depot-03,2016-10-20 11:00:06
KA01F3534,111E/1,9967505341,Depot-14,2016-10-20 11:00:07
KA01F3473,111E/2,9987769422,Depot-14,2016-10-20 11:00:07
KA01F2982,112/1,9987877527,Depot-26,2016-10-20 11:00:07
KA01F3868,112/2,9967503860,Depot-14,2016-10-20 11:00:06
KA01FA0453,112/3,9987889067,Depot-02,2016-10-20 11:00:05
KA01F9445,112/4,9967511339,Depot-10,2016-10-20 11:00:07
KA01F4727,112/5,9967505776,Depot-14,2016-10-20 11:00:07
KA01F3660,112A/1,9967505232,Depot-14,2016-10-20 11:00:07
KA01F3258,114/1,9987769936,Depot-14,2016-10-20 11:00:07
KA57F0809,114/3,9967505814,Depot-14,2016-10-20 11:00:07
KA01F3754,114/4,9987769795,Depot-14,2016-10-20 11:00:10
KA01FA1984,114A/1,9987881782,Depot-08,2016-10-20 11:00:06
KA01F3486,114A/2,9967505297,Depot-14,2016-10-20 11:00:07
KA01F4345,114A/3,9892264330,Depot-14,2016-10-20 11:00:10
KA01FA0186,114A/4,9987769426,Depot-14,2016-10-20 11:00:07
KA01F4872,114A/6,9967505321,Depot-14,2016-10-20 11:00:06
KA01FA1958,114B/1,9987769033,Depot-14,2016-10-20 11:00:07
KA01F3588,114B/2,9967499338,Depot-03,2016-10-20 11:00:10
KA01F2340,114C/1,9967505082,Depot-14,2016-10-20 11:00:07
KA01FA2302,114C/3,9987883728,Depot-08,2016-10-20 11:00:10
KA53F0219,114C/4,9967505749,Depot-14,2016-10-20 11:00:07
KA01FA2211,114C/6,9967504981,Depot-14,2016-10-20 11:00:10
KA01F4344,114C/7,9987838107,Depot-03,2016-10-20 11:00:11
KA01F3210,114D/1,9987768806,Depot-14,2016-10-20 11:00:10
KA01F4760,114D/2,9987898838,Depot-02,2016-10-20 11:00:09
KA01F4751,114E/1,9987782736,Depot-14,2016-10-20 11:00:11
KA01F3531,114G/1,9987850194,Depot-14,2016-10-20 11:00:11
KA01FA2167,115A/1,9987769581,Depot-14,2016-10-20 11:00:07
KA01FA0494,119/1,9987895593,Depot-02,2016-10-20 11:00:05
KA01FA2062,119/2,9967516919,Depot-10,2016-10-20 11:00:09
KA01F3215,12/1,9967506326,Depot-20,2016-10-20 11:00:07
