schedule_no,schedule_name
1/1,All Days
1/6,All Days
100/2,Holiday
104/1,All Days
104/2,All Days
104/5,Week Days
107C/2,Week Days
108/1,All Days
108/2,Holiday
108B/1,Week Days
108B/2,Holiday
108B/3,Holiday
108B/4,Holiday
108B/5,Week Days
10A/1,All Days
10J/1,All Days
10J/2,All Days
10J/3,All Days
111/1,All Days
111/2,Holiday
111/3,All Days
111/4,Holiday
111/6,Week Days
111/7,All Days
111C/1,All Days
111C/2,All Days
111C/4,All Days
111C/7,All Days
111E/1,All Days
111E/2,All Days
112/1,All Days
112/2,All Days
112/3,All Days
112/4,All Days
112/5,Holiday
112A/1,All Days
114/1,All Days
114/3,All Days
114/4,All Days
114A/1,Holiday
114A/2,All Days
114A/3,Week Days
114A/4,Week Days
114A/6,Week Days
114B/1,All Days
114B/2,All Days
114C/1,Holiday
114C/3,All Days
114C/4,All Days
114C/6,All Days
114C/7,All Days
114D/1,All Days
114D/2,All Days
114E/1,Holiday
114G/1,All Days
115A/1,Week Days
119/1,All Days
119/2,All Days
12/1,All Days
12/2,All Days
12/3,Week Days
12/4,All Days
12/5,All Days
12/8,Week Days
121A/1,All Days
122/1,All Days
123/1,All Days
125/1,All Days
125E/1,All Days
126A/1,All Days
127/1,All Days
127/2,All Days
127/4,All Days
127/5,All Days
128/1,Holiday
129/1,Holiday
129/3,Holiday
129/4,Week Days
129/5,All Days
129/6,All Days
129/7,Week Days
12B/4,All Days
12B/5,Holiday
12B/7,All Days
12D/1,All Days
12E/1,All Days
12F/1,All Days
12F-1/1,All Days
12F-1/2,All Days
12F-1/3,All Days
12F-1/4,All Days
12F-2/1,All Days
12F-2/2,All Days
12F-2/3,All Days
12F-2/4,All Days
12F-3/1,All Days
12F-3/2,All Days
12F-3/3,All Days
12F-5/10,All Days
12F-5/11,All Days
12F-5/14,All Days
12F-5/1,All Days
12F-5/3,All Days
12F-5/4,All Days
12F-5/5,All Days
12F-5/6,All Days
12F-5/9,All Days
13/1,Holiday
13/2,All Days
131/7,All Days
137/2,All Days
137/5,Holiday
138/11,Holiday
138/12,Holiday
138/13,Week Days
138/1,Holiday
138/2,All Days
138/3,Holiday
138/4,All Days
138/5,All Days
138/6,Week Days
138/7,All Days
138A/3,Holiday
139/1,All Days
139/2,All Days
139/3,All Days
13A/1,All Days
13A/2,All Days
13B/1,All Days
13B/2,Saturday
13B/3,All Days
13B/4,All Days
13C/1,All Days
13C/2,All Days
13C/3,All Days
13D/1,All Days
13E/1,All Days
13E/4,All Days
13F/1,All Days
13G/1,All Days
13H/2,All Days
13J/1,All Days
13K/1,All Days
13S/1,All Days
14/4,Week Days
140/1,All Days
140A/1,All Days
140E/1,All Days
140E/2,Holiday
141/1,All Days
141/2,All Days
141/3,All Days
141A/1,All Days
141B/1,Holiday
141E/1,All Days
141E/2,All Days
141E/3,All Days
141K/1,All Days
143/1,Holiday
143/2,All Days
143/4,All Days
143/5,All Days
143/6,All Days
143/7,Week Days
143A/1,All Days
143A/2,All Days
143E/1,All Days
143E/2,All Days
144/1,Holiday
144/2,All Days
144/3,All Days
144A/1,All Days
144E/1,All Days
144E/2,All Days
144E/3,Holiday
144E/4,All Days
144E/5,All Days
144E/6,All Days
144E/7,All Days
144G/2,All Days
144H/1,All Days
144H/2,All Days
144K/1,All Days
144K/2,All Days
145/1,All Days
145/4,All Days
145/5,All Days
145A/1,All Days
145A/2,Week Days
146/2,Week Days
146/3,Holiday
146B/1,All Days
146D/1,Holiday
146E/1,All Days
150/2,Week Days
150/3,Week Days
150/4,Week Days
150/5,Saturday
150/7,Week Days
150/8,All Days
154/1,Saturday
154/2,Week Days
155/2,All Days
15A/2,Week Days
15A/3,All Days
15A/4,All Days
15A/5,All Days
15A/6,Holiday
15C/1,All Days
15C/2,All Days
15E/1,All Days
15E/2,All Days
15E/3,All Days
15E/4,All Days
15E/5,All Days
15E/7,All Days
15E/9,Holiday
15F/1,All Days
15F/2,All Days
15G/1,All Days
15G/2,All Days
15G/3,All Days
15G/4,All Days
15K/1,All Days
16/3,All Days
161B/1,All Days
161D/1,Week Days
161D/2,All Days
162/2,Week Days
162D/2,Holiday
162E/1,Holiday
163C/1,All Days
163D/1,All Days
163G/1,Week Days
164/2,All Days
164/3,All Days
164/4,Week Days
165C/1,Holiday
166/2,Holiday
166/3,All Days
166/4,Week Days
168A/1,All Days
168D/1,Holiday
168D/2,All Days
168DA/1,All Days
168E/1,All Days
168E/2,All Days
169/1,All Days
170/3,Week Days
171/10,Week Days
171/11,Holiday
171/12,Holiday
171/13,Holiday
171/14,All Days
171/15,Week Days
171/17,All Days
171/1,All Days
171/2,Week Days
171/3,All Days
171/5,All Days
171/6,Holiday
171/7,All Days
171/8,All Days
171/9,Holiday
171A/2,Holiday
171B/2,Week Days
171F/1,All Days
171F/2,All Days
171F/3,Holiday
171G/1,All Days
171G/2,All Days
171G/3,All Days
171G/4,Week Days
171G/5,Holiday
171G/6,Week Days
171G/7,All Days
171G/8,All Days
171H/1,Week Days
171J/1,All Days
173A/1,All Days
174/1,All Days
174A/1,Week Days
176/10,All Days
176/11,All Days
176/12,All Days
176/13,All Days
176/15,All Days
176/16,All Days
176/19,Week Days
176/1,All Days
176/20,All Days
176/21,All Days
176/22,All Days
176/24,All Days
176/2,All Days
176/3,All Days
176/4,Holiday
176/5,All Days
176/6,All Days
176/7,All Days
176/8,Holiday
176/9,All Days
176C/3,All Days
176C/4,All Days
176CA/1,All Days
176CA/2,All Days
176E/1,All Days
176G/1,All Days
177/1,All Days
177/2,All Days
178/1,Holiday
18/2,Week Days
18/3,All Days
18/4,Holiday
18/5,All Days
18/7,All Days
18/8,All Days
18/9,Week Days
180/1,All Days
180/2,All Days
180/3,All Days
180/5,All Days
180/7,All Days
181/1,Week Days
181/3,All Days
181/4,Week Days
182/1,All Days
190/1,All Days
195/1,All Days
195/2,All Days
195/3,All Days
195/5,All Days
195/7,Week Days
196/1,All Days
197/1,All Days
19E/1,Week Days
2/11,Week Days
2/12,All Days
2/13,Saturday
2/14,All Days
2/16,Holiday
2/1,All Days
2/3,All Days
2/4,Week Days
2/5,Holiday
2/7,Week Days
2/8,All Days
2/9,All Days
20/2,Week Days
20/5,Week Days
201/10,All Days
201/11,All Days
201/12,All Days
201/13,All Days
201/14,All Days
201/15,All Days
201/16,All Days
201/17,All Days
201/18,All Days
201/1,All Days
201/20,All Days
201/21,All Days
201/22,Week Days
201/23,All Days
201/24,Holiday
201/25,Week Days
201/27,Week Days
201/28,All Days
201/2,All Days
201/3,All Days
201/4,All Days
201/5,All Days
201/6,All Days
201/7,All Days
201/8,All Days
201/9,All Days
201B/1,All Days
201C/1,All Days
201D/1,All Days
201E/1,All Days
201G/1,All Days
201H/2,Holiday
201HA/1,All Days
201J/10,Week Days
201J/11,Holiday
201J/12,All Days
201J/13,All Days
201J/3,Holiday
201J/4,Holiday
201J/5,All Days
201J/6,All Days
201J/7,All Days
201K/1,All Days
201K/2,Week Days
201L/2,All Days
201M/1,All Days
201M/2,All Days
201M/3,Holiday
201M/4,All Days
201M/5,All Days
201M/6,Week Days
201M/7,Holiday
201M/8,All Days
201MA/5,All Days
201MA/6,All Days
201MD/1,All Days
201MD/4,Week Days
201MD/5,Holiday
201MD/6,All Days
201MJ/1,All Days
201N/1,All Days
201N/2,All Days
201P/1,All Days
201Q/1,All Days
201Q/2,All Days
201RB/1,Holiday
201S/1,All Days
201U/3,Week Days
201U/5,All Days
201U/6,All Days
201V/1,Holiday
201V/2,Holiday
202/1,Holiday
202A/2,Week Days
202E/2,Week Days
21/1,All Days
21/3,All Days
210/1,All Days
210/2,All Days
210A/1,Week Days
210A/2,Holiday
210A/3,Holiday
210A/4,All Days
210A/5,All Days
210C/1,All Days
210D/1,All Days
210E/1,All Days
210E/2,All Days
210E/3,All Days
210E/5,All Days
210FA/1,All Days
210G/1,All Days
210G/2,All Days
210G/3,All Days
210G/4,All Days
210H/1,All Days
210I/1,All Days
210J/1,All Days
210J/2,All Days
210J/3,All Days
210K/1,All Days
210KA/2,All Days
210N/11,All Days
210N/12,All Days
210N/1,All Days
210N/2,All Days
210N/3,All Days
210N/5,All Days
210N/7,All Days
210N/8,All Days
210N/9,All Days
210NA/1,All Days
210NA/2,All Days
210NB/1,All Days
210ND/1,All Days
210NG/2,All Days
210P/10,All Days
210P/12,All Days
210P/14,All Days
210P/1,All Days
210P/2,All Days
210P/3,All Days
210P/4,All Days
210P/5,All Days
210P/7,All Days
210P/8,All Days
210P/9,All Days
210Q/1,All Days
210Q/3,All Days
210Q/4,All Days
210R/1,All Days
210R/2,All Days
210R/3,All Days
210R/4,All Days
210R/5,All Days
210T/1,All Days
210T/3,Week Days
210U/1,All Days
210U/2,All Days
210U/3,All Days
210U/5,All Days
210V/1,All Days
210V/2,All Days
210V/3,Week Days
210W/2,All Days
210WA/1,All Days
210Z/1,All Days
210Z/2,All Days
210ZA/1,Week Days
211/1,All Days
211/4,All Days
211A/1,All Days
211AA/1,All Days
211B/1,All Days
211C/1,All Days
211C/2,All Days
211D/1,All Days
211DA/1,All Days
211E/1,All Days
211G/1,All Days
211H/1,All Days
211H/2,All Days
211J/1,All Days
211K/1,All Days
211L/1,All Days
211M/1,All Days
211N/1,All Days
211N/2,All Days
211Q/1,All Days
211R/1,All Days
211RA/1,All Days
211T/1,All Days
211U/1,Holiday
212/1,All Days
212/2,All Days
212B/1,All Days
212D/1,All Days
212F/1,All Days
212G/1,All Days
212M/2,All Days
213/1,Week Days
213/2,All Days
213/3,All Days
213A/1,All Days
213C/1,All Days
213D/1,All Days
213DA/1,All Days
213DB/1,All Days
213DC/1,All Days
213E/1,All Days
213F/1,All Days
213FA/1,All Days
213H/1,All Days
213H/2,All Days
213J/1,All Days
213K/1,All Days
213K/2,All Days
213K/3,All Days
