vehicle_no,device_id,sim_number,depot
KA01F8860,150222774,8494930821,Depot-11
KA57F0200,150219661,9987887849,Depot-07
KA01F9501,150221137,9987887706,Depot-07
KA57F0203,150221180,9987887746,Depot-07
KA01FA2262,150218380,9987894159,Depot-07
KA01F3926,150219914,9987892394,Depot-07
KA01F8797,150220874,9987893818,Depot-07
KA01FA1336,150220969,9987892717,Depot-07
KA57F0332,150221184,9987887756,Depot-07
KA57F0321,150221430,9987889047,Depot-07
KA01F9502,150221517,9987887960,Depot-07
KA01F9499,150221683,9987889024,Depot-07
KA01FA1748,150221311,9987893970,Depot-07
KA57F0969,150219789,9987898161,Depot-07
KA57F1348,150219262,9987895021,Depot-07
KA57F1175,150220979,9987897819,Depot-07
KA57F0970,150221216,9987893251,Depot-07
KA57F1263,150221411,9987894126,Depot-07
KA57F1185,150221070,8828031291,Depot-25
KA57F0236,150220945,8828028664,Depot-25
KA57F0318,150221596,8828031281,Depot-25
KA57F1101,150219429,8828031030,Depot-25
KA01F9069,150220638,8828028663,Depot-25
KA01F4409,150221781,8828031034,Depot-25
KA57F0133,150221477,8828031245,Depot-25
KA57F0237,150220481,8828031301,Depot-25
KA01FA2327,150221178,8828028682,Depot-25
KA01FA1637,150221893,8828031249,Depot-25
KA57F0224,150218179,8828028710,Depot-25
KA01FA2330,150220795,8828031048,Depot-25
KA01F9587,150218149,8828031280,Depot-25
KA01F4408,150220134,8828030992,Depot-25
KA01FA2295,150220623,8828031047,Depot-25
KA01F4382,150219916,8828028639,Depot-25
KA57F0223,150221407,8828031039,Depot-25
KA01F9003,150220325,8828031054,Depot-25
KA01F8836,150218351,8828028635,Depot-25
KA01FA1348,150222286,8828028713,Depot-25
KA57F0912,150221818,8828031292,Depot-25
KA01F4613,150220785,8828031045,Depot-25
KA57F0153,150222935,8828028711,Depot-25
KA57F1102,150219240,9867359779,Depot-25
KA57F1137,150220401,8828031289,Depot-25
KA57F0154,150222162,8828031282,Depot-25
KA57F0227,150220662,8828031268,Depot-25
KA01FA1366,150219316,8828028637,Depot-25
KA57F0316,150219609,8828031248,Depot-25
KA57F0317,150221690,8828031259,Depot-25
KA57F0967,150221658,8828028662,Depot-25
KA57F0155,150218235,8828031058,Depot-25
KA01FA1364,150220603,8828031241,Depot-25
KA01F4608,150220335,8828031075,Depot-25
